Product,Name,Price (INR),Rating,Comment Heading,Comment
iFFALCON by TCL 79.97cm (32 inch) HD Ready LED Smart Android TV  with Google assistant tv HDR 10 and D...,No Name,11999.0,No Rating,No Comment Heading,
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,shoeb  saed,24999.0,5,Simply awesome,the TV is superb. no doubt. at this price. but it was sold for 2000 rs less within a week!! that's unfair to people who try and get it first. shouldn't the company favour their die hard fans who struggle n buy at launch ? anyway this is my second iffalcon tv . earlier i had bought 40F2 model which was nice too.. the 55 inch one should have been provided with air mouse and addon gadget for voice control. at least for the early bird buyers. casting is bit of an issue still. picture quality is s...
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Mr Supriya Majumder,24999.0,4,Really Nice,"MY INITIAL IMPRESSIONPurchase date: 28/9/2019(BB Day)Delivered on: 10/10/2019Instalation date: 13/10/2019Model No :43K31Picture quality: Good picture quality but recommend to play atleast 720p content. SD SET TOP Box picture is below average which is usual. Don't do much experiment with picture settings , keep default settings out of the box. Viewing angles are good.Sound quality: Excellent sound output from the two speakers. No need of additional spekar to connect. For Dolby Audio y..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Vishwas Bhere,24999.0,5,Must buy!,"This is the best one can ask for the price you pay. Stunning display. Beautiful colors. 4k videos are treat to your eyes, color  reproduction is amazing. Brightness could have been little more but is manageable. I have not tried sd content but full hd is of good quality. Overall value for money."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Kuldeep,24999.0,4,Good quality product,"Recently i baught much awaited smart LED 4k from Iffalcon  50"", as usual flip-kart done  fabulous job, and delivered LED on very next day, as committed, and as per schedule they informed me for installation after 2 day, but  due to non-availability of my on that day at home, i make requested to Jeeves customer care and they sent executive for  installation on 2nd day of delivery, i was very excited to see it, after installation and i didn't disappoint, picture quality of LED is Good. last mon..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Janeesh Madhav,24999.0,5,Mind-blowing purchase,"Excellent LED TV. purchased it on 17/10/19 evening, got it delivered on next day at 10 am, just after one hour rec'd a call for installation, based on my convenience one Mr. Vishwanth Reddy visited our home at 3.00 pm. He is an excellent installation engineer, finished his work very neat and fast, explained the functionalities of the TV too. first of all a big five star for the delivery of Flipkart and the excellent service of Jeeves the service partner.About TV, now I used it for 3 days, I..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,NITIN  Bansal,24999.0,1,Worthless,"Picture quality is not as per mark for standard channels as well as 4 k channel , so please kindly ignore this ang go wit h better options like Lg , Samsung these are so good with their technology and quality it's one time investment for long period with good views, so protect your eyes with good picture quality"
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Vallabh Hayatnagarkar,24999.0,5,Simply awesome,"I have Purchased 50"" model on 1st June 2020 and it has delivered to me on 4th June with installation same day.Truly speaking after one week, if you are looking for a budget smart TV then this is Fabulous TV. Picture quality, sound, Wi-Fi connectivity is truly awesome. I also took help of Flipkart reviews before ordering TV but yes now I totally believe on Flipkart and TV brand TCL iFFalcon... Only one note- If you do not have HD channel set top box then please get it to feel the masterpiece..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,SAMBIT DATTA,24999.0,4,Old 55k is much better than K31,"Based on my experience with old iffalcon 55 inch tv for almost a year, i bought k31. Even though various reviews says k31 is better, I still feel the previous one is much better and elegant in built quality. In case of k31, the picture is brighter, but not soothing like the previous one. The new one built quality looks cheaper with  plastic material. Also they are cutting cost by providing only one small remote. The larger remote is much more convenient to use. I cant comment much on sound bu..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Neeraj Jain,24999.0,5,Fabulous!,"Update after 11 months: TV is great. it lacks nothing. working fine.  This TV is great so far. It's been 10 days since installation. PQ is great. 4k is brilliant. 1080p is also very good. sd is bad, but nowadays except for some news channels nothing is in sd. SQ is also good considering that these kind of slim TVs can't have better speakers. 4k on YouTube, Netflix etc works perfectly on my wifi. all the apps are working perfectly. never once did I have to restart my tv or any app . voice com..."
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,Rakesh Raina,24999.0,5,Highly recommended,"wow...great deal 😍 writing review after 1 month usegood in picture qualityvery good in sound systemit supports hotstar, amazon prime, zee5, amazon Alexa, we can download extra  app&games from playstore.....at this prize segment we are getting many features in iffalcon 4k tv200% iffalcon by tcl 4k android tv is better then mi 4k android tv's just go for it guys... 👏👏"
iFFALCON by TCL AI Powered K31 108cm (43 inch) Ultra HD (4K) LED Smart Android TV  with HDR 10,No Name,24999.0,No Rating,No Comment Heading,
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Deepan Karthegeyen,18499.0,4,Worth the money,Good TV used for couple of days. Will be giving tough fight to best TV's in the market. Best buy under 20k. Will be recommend for friends and relatives for its clarity and brightness.Pros:Nice Picture clarityAmazing sound qualityFantastic BuildAndroid TV with Bluetooth remote with voice assisted navigationCons:Not good for SD set top box with SD channels. Will go with HD set top box with HD channels will give amazing clarity and sharp picture.Getting green shades due to SD channels ...
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Rohan Jain,18499.0,4,Worth the money,"Just to give a little background, I am techoholic and I throughly analyse the product before getting one for myself. So I was looking for a decent TV with good features not just like for the sake of having that feature but instead with official support.When I did a market research and spent some good amount of time with the Youtube reviews and with some blogs then I ended up with this IFFALCON F2A model.Even though I was skeptical by few initial reviews which said the TV have some automat..."
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Bhupat Jadeja,18499.0,5,Excellent,I was waiting for the tv and bought with early access from my account..after full day of using i am writing now my review for this awesome tv...fully satisfied with all the function as per this budget of tv...firstly i have ordered 40inch full hd tv of same company but as difference with 3 to 4 k this is best budget android tv ever of this price range ..really very much good display with full hd resolution of 1920 x 1080 pixel..watched hd channel on this tv and my viewing experience was tota...
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Raman Gujral,18499.0,1,Not a good choice .,I order it on 20th Nov  .It started restarting on 2nd day multiply times. I contacted Flipkart   they  send engineer  he came next day  and just rested  the TV . We setup  and updated all software's again .  Same day it started restarting  final  they accepted  replacement Flipkart  has taken 10 days to send the  replacement  they could have done it early (New product they will delivery in 1 day).  It arrived on 6th Dec same day it got installed. By evening it again has same issue  restarting...
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Kamal Dhanwani,18499.0,5,Highly recommended,nice product good android support sound is good Dolby digitalVA PANEL which is far better than IPS PANELin terms of creating black colour to provide crystal clear picturesupports HDR 1OAI INTERFACE is good flipkart delivery at its bestjeevas C care is also good
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Chandu Koutam,18499.0,5,Super!,display is Excellent only in HD channels. Sound is above Average but better than MI Tv. You dont need basic long Remote. smart remote is enough. 40 is Ideal Size for me. Pros: Great Display. Nice Sound. Value for Money. Ondt spend more 30k for only Branding. IF YOUR TV Is Restarting regularly try to do FACTORY RESET in Settings. CONS: Chromecast is Gimmick. it needs Wifi connection means you need router or hotspot from 2nd phone. Only 1 USB. not a big deal. Not yet faced any problem till now....
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Rujul Bhatt,18499.0,5,Simply awesome,Actual image of my Android TV from iFFALCON (TCL) 1). Picture quality very sharp & great black colour to enhance viewing angle. 2). Sound is enough loud. no need to buy extra speaker guarentee. 3). Installtion from flipkart partner well manage along with demo. 4). I didn't face single time restart issue. Tv working really well. I can say this after using it for 15 days regularly. 5). Tv connectivity good in mobile hotspot & wifi both. 6). Chrom cast & Bluetooth also working well. in chrom cas...
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,SIMAB RAZIUDDIN,18499.0,5,Terrific,Smooth Android Performance..Nice Sound..Remote's Build Quality is Amazing..Built in Chromecast is very useful and runs flawlessly.Never faced any Lag in OS so far.Voice Search option runs very accurate and smooth.Overall a fantastic TV experience. Much more satisfying experience.Thanks TCLSUGGESTIONS TO MANUFACTURER1) PLEASE ADD 2  PICTURE AND SOUND PRESET BUTTONS ON REMOTE. Dedicated for Picture and Sound presets. It is Much Needed Option.
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,Joydip Ghosh,18499.0,5,Excellent,Picture : Good //    Sound : Average // value for money // looks Awesome // best thing is that it's completely android TV // support mobile casting and buletooth and WIFI // GOOGLE Assistant working good inthis TV.......... ?
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,anusuya nayak,18499.0,1,Useless product,"I'm writing this honest review after 5 months of usage. Within just 2 months the mic remote stopped working and after 5 months the TV has stopped working. The customer support sucks big time or you may say they don't even have a thing called customer support. Neither do they answer calls nor do they reply to emails. After a lot of calling, emailing and finally tweeting, they sent the servicing guys who found out that the circuit board is defective. I have never seen before a TV whose circuit ..."
iFFALCON by TCL 100.3cm (40 inch) Full HD LED Smart Android TV  with Google assistant search and Dolby...,No Name,18499.0,No Rating,No Comment Heading,
TCL S65A Series 79.97cm (32 inch) HD Ready LED Smart Android TV,IMRAN SHAIK,15550.0,5,Wonderful,Nice one
